customer_id,first_name,last_name,address,contact_number
8014,Art,Venere,8 W Cerritos Ave #54,856-636-8749
19443,Minna,Amigon,2371 Jerrold Ave,215-874-1229
21224,Kris,Marrier,228 Runamuck Pl #2808,410-655-8723
44805,Simona,Morasca,3 Mcauley Dr,419-503-2484
45011,Donette,Foller,34 Center St,513-570-1893
48116,Josephine,Darakjy,4 B Blue Ridge Blvd,810-292-9388
57105,Sage,Wieser,5 Boston Ave #88,605-414-2147
70116,James,Butt,6649 N Blue Gum St,504-621-8927
95111,Leota,Dilliard,7 W Jackson Blvd,408-752-3500
99501,Lenna,Paprocki,639 Main St,907-385-4412
